date,EUR/EUR,JPY/EUR,USD/EUR,CNY/EUR,INR/EUR,RUB/EUR,CHF/EUR,MXN/EUR,AUD/EUR,KRW/EUR,,2010-01-01
2011-05-01,1,0.8516,0.6946,0.1072,,0.02483,0.8131,0.06002,0.7411,0.0007,,2011-06-01
2011-06-01,1,0.8558,0.6893,0.1066,,0.02468,0.8198,0.05884,0.7387,0.0007,,2011-07-01
2011-07-01,1,0.9046,0.6946,0.1079,,0.02513,0.8838,0.0592,0.7632,0.0007,,2011-08-01
2011-08-01,1,0.9075,0.6954,0.109,,0.0241,0.8627,0.05636,0.7442,0.0007,,2011-09-01
2011-09-01,1,0.9689,0.7469,0.117,,0.02319,0.8223,0.05372,0.7214,0.0007,,2011-10-01
2011-10-01,1,0.9225,0.7215,0.1135,,0.02386,0.822,0.05399,0.76,0.0007,,2011-11-01
2011-11-01,1,0.9587,0.7439,0.1166,,0.0242,0.8141,0.05451,0.7643,0.0007,,2011-12-01
2011-12-01,1,1.0037,0.7727,0.1228,,0.02399,0.8234,0.05534,0.7898,0.0007,,2012-01-01
2012-01-01,1,1.0023,0.7646,0.1212,,0.02522,0.8302,0.0586,0.8113,0.0007,,2012-02-01
2012-02-01,1,0.9242,0.7502,0.1192,,0.02579,0.8295,0.05837,0.8053,0.0007,,2012-03-01
2012-03-01,1,0.9046,0.7493,0.119,,0.02555,0.8303,0.05848,0.7749,0.0007,,2012-04-01
2012-04-01,1,0.9463,0.7551,0.1197,,0.02571,0.8321,0.058,0.7872,0.0007,,2012-05-01
2012-05-01,1,1.0322,0.8091,0.127,,0.02421,0.8321,0.05629,0.787,0.0007,,2012-06-01
2012-06-01,1,0.9892,0.7898,0.1243,,0.02437,0.8324,0.05911,0.8082,0.0007,,2012-07-01
2012-07-01,1,1.0404,0.8127,0.1277,,0.02522,0.8323,0.06094,0.853,0.0007,,2012-08-01
2012-08-01,1,1.0138,0.7948,0.1252,,0.02464,0.832,0.06017,0.82,0.0007,,2012-09-01
2012-09-01,1,0.9979,0.7777,0.1238,,0.02493,0.8272,0.06044,0.8069,0.0007,,2012-10-01
2012-10-01,1,0.9668,0.7716,0.1237,,0.02461,0.8281,0.0589,0.8001,0.0007,,2012-11-01
2012-11-01,1,0.9324,0.7688,0.1235,,0.02491,0.8296,0.05941,0.8023,0.0007,,2012-12-01
2012-12-01,1,0.8729,0.7577,0.1216,,0.02479,0.8277,0.05896,0.7874,0.0007,,2013-01-01
2013-01-01,1,0.8042,0.7363,0.1184,,0.02451,0.8087,0.05796,0.7678,0.0007,,2013-02-01
2013-02-01,1,0.8264,0.7653,0.123,,0.02497,0.8169,0.05989,0.7817,0.0007,,2013-03-01
2013-03-01,1,0.8274,0.7798,0.1256,,0.02509,0.8212,0.06329,0.8124,0.0007,,2013-04-01
2013-04-01,1,0.7794,0.7594,0.1232,,0.02439,0.8171,0.06258,0.7874,0.0007,,2013-05-01
2013-05-01,1,0.7652,0.7691,0.1254,,0.02409,0.805,0.05999,0.736,0.0007,,2013-06-01
2013-06-01,1,0.7751,0.7685,0.1252,,0.0234,0.8134,0.05932,0.7021,0.0007,,2013-07-01
2013-07-01,1,0.7678,0.7516,0.1226,,0.0228,0.8112,0.05901,0.6749,0.0007,,2013-08-01
2013-08-01,1,0.7702,0.7562,0.1236,,0.02272,0.813,0.05648,0.6727,0.0007,,2013-09-01
2013-09-01,1,0.7524,0.7392,0.1207,,0.02281,0.8167,0.05645,0.6882,0.0007,,2013-10-01
2013-10-01,1,0.7483,0.736,0.1208,,0.02294,0.8116,0.0565,0.6961,0.0007,,2013-11-01
