date,EUR/JPY,JPY/JPY,USD/JPY,CNY/JPY,INR/JPY,RUB/JPY,CHF/JPY,MXN/JPY,AUD/JPY,KRW/JPY
2014-02-01,140.5000 ,1.0000 ,101.8000 ,16.5655 ,1.6472 ,2.8235 ,115.6300 ,7.6819 ,90.8700 ,0.0954 
2014-03-01,142.0900 ,1.0000 ,103.1900 ,16.5954 ,1.7191 ,2.9430 ,116.6100 ,7.9026 ,95.5700 ,0.0969 
2014-04-01,141.7700 ,1.0000 ,102.2400 ,16.3333 ,1.6941 ,2.8682 ,116.0600 ,7.8151 ,94.9100 ,0.0989 
2014-05-01,138.7300 ,1.0000 ,101.7800 ,16.2882 ,1.7190 ,2.9142 ,113.7000 ,7.9134 ,94.7500 ,0.0997 
2014-06-01,138.6900 ,1.0000 ,101.3000 ,16.3282 ,1.6862 ,2.9796 ,114.2200 ,7.8097 ,95.5300 ,0.1000 
2014-07-01,137.6200 ,1.0000 ,102.7900 ,16.6480 ,1.6973 ,2.8768 ,113.1100 ,7.7759 ,95.5400 ,0.1000 
2014-08-01,136.6400 ,1.0000 ,104.0500 ,16.9360 ,1.7188 ,2.8070 ,113.2800 ,7.9485 ,97.1100 ,0.1026 
2014-09-01,138.4900 ,1.0000 ,109.6400 ,17.8596 ,1.7697 ,2.7677 ,114.7600 ,8.1632 ,95.8800 ,0.1039 
2014-10-01,140.6400 ,1.0000 ,112.3000 ,18.3710 ,1.8284 ,2.6106 ,116.5900 ,8.3315 ,98.7600 ,0.1045 
2014-11-01,147.6700 ,1.0000 ,118.6100 ,19.3069 ,1.9061 ,2.3538 ,122.7800 ,8.5098 ,100.9300 ,0.1065 
2014-12-01,144.7800 ,1.0000 ,119.6800 ,19.2796 ,1.8985 ,2.0617 ,120.3500 ,8.1117 ,97.7500 ,0.1093 
2015-01-01,132.5400 ,1.0000 ,117.4400 ,18.7889 ,1.8933 ,1.6926 ,127.4300 ,7.8325 ,91.2000 ,0.1064 
2015-02-01,133.7700 ,1.0000 ,119.5100 ,19.0615 ,1.9379 ,1.9313 ,125.3300 ,7.9910 ,93.3300 ,0.1084 
2015-03-01,128.8900 ,1.0000 ,120.1200 ,19.3742 ,1.9280 ,2.0634 ,123.4900 ,7.8691 ,91.3500 ,0.1082 
2015-04-01,133.9200 ,1.0000 ,119.3400 ,19.2366 ,1.8782 ,2.3068 ,127.9500 ,7.7724 ,94.3100 ,0.1107 
2015-05-01,136.3600 ,1.0000 ,124.1100 ,20.0223 ,1.9467 ,2.3687 ,131.9800 ,8.0690 ,94.7700 ,0.1114 
2015-06-01,136.3900 ,1.0000 ,122.4900 ,19.7501 ,1.9255 ,2.2146 ,130.9100 ,7.7819 ,94.3700 ,0.1093 
2015-07-01,136.1500 ,1.0000 ,123.9200 ,19.9556 ,1.9363 ,2.0063 ,128.2200 ,7.6904 ,90.4900 ,0.1061 
2015-08-01,135.8900 ,1.0000 ,121.2200 ,19.0080 ,1.8248 ,1.8979 ,125.3300 ,7.2347 ,86.1800 ,0.1024 
2015-09-01,133.9300 ,1.0000 ,119.8400 ,18.8469 ,1.8289 ,1.8344 ,123.0800 ,7.0822 ,84.0900 ,0.1010 
2015-10-01,132.7300 ,1.0000 ,120.6100 ,19.0893 ,1.8433 ,1.8816 ,122.0100 ,7.3062 ,86.0800 ,0.1056 
2015-11-01,130.0100 ,1.0000 ,123.0800 ,19.2367 ,1.8516 ,1.8536 ,119.6300 ,7.4245 ,88.9400 ,0.1060 
2015-12-01,130.6500 ,1.0000 ,120.3000 ,18.5214 ,1.8167 ,1.6468 ,120.0200 ,6.9983 ,87.5200 ,0.1022 
2016-01-01,131.1200 ,1.0000 ,121.0300 ,18.4023 ,1.7828 ,1.6013 ,118.2300 ,6.6794 ,85.7100 ,0.1001 
2016-02-01,122.4700 ,1.0000 ,112.6600 ,17.1856 ,1.6515 ,1.4970 ,112.7700 ,6.2089 ,80.4200 ,0.0909 
2016-03-01,128.0700 ,1.0000 ,112.5600 ,17.4512 ,1.6988 ,1.6793 ,116.9600 ,6.5129 ,86.1500 ,0.0982 
2016-04-01,121.8100 ,1.0000 ,106.3500 ,16.4265 ,1.6008 ,1.6438 ,110.7900 ,6.1903 ,80.8500 ,0.0928 
2016-05-01,123.1800 ,1.0000 ,110.6800 ,16.8053 ,1.6466 ,1.6578 ,111.3700 ,5.9923 ,80.0100 ,0.0929 
2016-06-01,114.6500 ,1.0000 ,103.2500 ,15.5258 ,1.5293 ,1.6110 ,105.7600 ,5.6445 ,76.8900 ,0.0895 
2016-07-01,114.0300 ,1.0000 ,102.0500 ,15.3760 ,1.5306 ,1.5467 ,105.2400 ,5.4407 ,77.5100 ,0.0916 
2016-08-01,115.3800 ,1.0000 ,103.4200 ,15.4797 ,1.5440 ,1.5800 ,105.0600 ,5.5048 ,77.7100 ,0.0926 
2016-09-01,113.8700 ,1.0000 ,101.3300 ,15.1812 ,1.5223 ,1.6115 ,104.2800 ,5.2245 ,77.5600 ,0.0919 
2016-10-01,115.0700 ,1.0000 ,104.8100 ,15.4630 ,1.5715 ,1.6551 ,105.9400 ,5.5543 ,79.7400 ,0.0916 
2016-11-01,121.1500 ,1.0000 ,114.4400 ,16.6096 ,1.6680 ,1.7840 ,112.4400 ,5.5615 ,84.4800 ,0.0970 
2016-12-01,122.8700 ,1.0000 ,116.8700 ,16.8231 ,1.7196 ,1.9074 ,114.6900 ,5.6350 ,84.3200 ,0.0967 
2017-01-01,121.7700 ,1.0000 ,112.7800 ,16.3784 ,1.6700 ,1.8724 ,113.9900 ,5.4132 ,85.5300 ,0.0979 
2017-02-01,119.2300 ,1.0000 ,112.7500 ,16.4143 ,1.6891 ,1.9278 ,112.0800 ,5.6053 ,86.3300 ,0.0990 
2017-03-01,118.6300 ,1.0000 ,111.3800 ,16.1631 ,1.7170 ,1.9790 ,111.0100 ,5.9458 ,84.9600 ,0.0996 
2017-04-01,121.5100 ,1.0000 ,111.5300 ,16.1708 ,1.7343 ,1.9567 ,112.0500 ,5.9230 ,83.4700 ,0.0979 
2017-05-01,124.5100 ,1.0000 ,110.7500 ,16.2636 ,1.7168 ,1.9558 ,114.4200 ,5.9474 ,82.2800 ,0.0988 
2017-06-01,128.3400 ,1.0000 ,112.3500 ,16.5647 ,1.7385 ,1.9065 ,117.2100 ,6.1960 ,86.3500 ,0.0980 
2017-07-01,130.5200 ,1.0000 ,110.2500 ,16.3826 ,1.7163 ,1.8442 ,113.9900 ,6.1894 ,88.2100 ,0.0984 
2017-08-01,130.9400 ,1.0000 ,109.9600 ,16.6834 ,1.7197 ,1.8935 ,114.6900 ,6.1458 ,87.3700 ,0.0977 
2017-09-01,132.8500 ,1.0000 ,112.4700 ,16.9039 ,1.7220 ,1.9525 ,116.1400 ,6.1594 ,88.1000 ,0.0981 
2017-10-01,132.3000 ,1.0000 ,113.6200 ,17.1192 ,1.7545 ,1.9465 ,113.8600 ,5.9328 ,86.9800 ,0.1015 
2017-11-01,133.9200 ,1.0000 ,112.5200 ,17.0060 ,1.7445 ,1.9232 ,114.3700 ,6.0387 ,85.1300 ,0.1033 
2017-12-01,135.1600 ,1.0000 ,112.6700 ,17.3152 ,1.7646 ,1.9538 ,115.6300 ,5.7315 ,87.8900 ,0.1055 
2018-01-01,135.6100 ,1.0000 ,109.1700 ,17.3496 ,1.7179 ,1.9426 ,117.2100 ,5.8674 ,87.9400 ,0.1019 
2018-02-01,130.0500 ,1.0000 ,106.6700 ,16.8406 ,1.6355 ,1.8926 ,112.9000 ,5.6589 ,82.7900 ,0.0982 
2018-03-01,130.9200 ,1.0000 ,106.2600 ,16.9258 ,1.6318 ,1.8596 ,111.2900 ,5.8481 ,81.5900 ,0.1000 
2018-04-01,132.0400 ,1.0000 ,109.3300 ,17.2608 ,1.6448 ,1.7355 ,110.3200 ,5.8420 ,82.3100 ,0.1020 
2018-05-01,127.2000 ,1.0000 ,108.8100 ,16.9724 ,1.6134 ,1.7446 ,110.3700 ,5.4626 ,82.3400 ,0.1006 
2018-06-01,129.2800 ,1.0000 ,110.6600 ,16.7036 ,1.6162 ,1.7600 ,111.6400 ,5.5535 ,81.9100 ,0.0991 
2018-07-01,130.7800 ,1.0000 ,111.8600 ,16.3979 ,1.6337 ,1.7875 ,112.9300 ,5.9978 ,83.0700 ,0.1004 
2018-08-01,128.8200 ,1.0000 ,111.0200 ,16.2505 ,1.5637 ,1.6436 ,114.5800 ,5.8136 ,79.8800 ,0.0994 
2018-09-01,131.9600 ,1.0000 ,113.6800 ,16.5480 ,1.5676 ,1.7315 ,115.7300 ,6.0698 ,82.1700 ,0.1024 
2018-10-01,127.7200 ,1.0000 ,112.9300 ,16.1846 ,1.5267 ,1.7138 ,111.9400 ,5.5494 ,79.8800 ,0.0988 
