Date,AUDCNY=X,CHFCNY=X,EURCNY=X,JPYCNY=X,KRWCNY=X,USDCNY=X
2010-01-01 0:00,5.961100101470947,6.34499979,9.334400177001953,0.074550003,0.5753099918365479,6.816899776
2010-02-01 0:00,5.979400157928467,6.198800086975098,9.072899818,0.074830003,0.5757899880409241,6.816699981689453
2010-03-01 0:00,6.2434000968933105,6.471399784088135,9.211700439453125,0.072920002,0.6021199822425842,6.815899848937988
2010-04-01 0:00,6.300199986,6.325200080871582,9.060600280761719,0.072609998,0.6144499778747559,6.815999984741211
2010-05-01 0:00,5.763199806213379,5.8871002197265625,8.365599632263184,0.074660003,0.566789985,6.8180999755859375
2010-06-01 0:00,5.718800067901611,6.307300090789795,8.314000129699707,0.076880001,0.5534999966621399,6.771999835968018
2010-07-01 0:00,6.129799842834473,6.501399993896484,8.831199645996094,0.078369997,0.5714399814605713,6.765200138092041
2010-08-01 0:00,6.061800003051758,6.630099773406982,8.609499931,0.080410004,0.5691699981689453,6.793300151824951
2010-09-01 0:00,6.469099998474121,6.831099987030029,9.093899726867676,0.079659998,0.5852800011634827,6.678400039672852
2010-10-01 0:00,6.488399982452393,6.738500118255615,9.298100471496582,0.081670001,0.5886300206184387,6.676499843597412
2010-11-01 0:00,6.381999969482422,6.635099888,8.701600074768066,0.078819998,0.5706300139427185,6.6504998207092285
2010-12-01 0:00,6.673699855804443,7.029900074005127,8.738499641418457,0.08061,0.5823500156402588,6.612400054931641
2011-01-01 0:00,6.498300075531006,6.987599849700928,8.934000015258789,0.080169998,0.5885499715805054,6.572500228881836
2011-02-01 0:00,6.666200160980225,7.079899787902832,9.027199745178223,0.080509998,0.5825999975204468,6.563000202178955
2011-03-01 0:00,6.743899822235107,7.113299847,9.229800224,0.078610003,0.5945199728012085,6.548600196838379
2011-04-01 0:00,7.075300216674805,7.409800052642822,9.601200103759766,0.079329997,0.6046800017356873,6.500999927520752
2011-05-01 0:00,6.909100056,7.588099956512451,9.245699882507324,0.07982,0.5997400283813477,6.473800182342529
2011-06-01 0:00,6.879399776,7.724999904632568,9.317500114440918,0.079690002,0.6015499830245972,6.4629998207092285
2011-07-01 0:00,7.065299987792969,8.014599800109863,9.205400466918945,0.082610004,0.6117299795150757,6.442999839782715
2011-08-01 0:00,6.802999973297119,7.774700164794922,9.199799537658691,0.08309,0.5941699743270874,6.380300045013428
2011-09-01 0:00,6.267099857330322,7.148200035095215,8.717599868774414,0.083609998,0.5446400046348572,6.387499809265137
2011-10-01 0:00,6.7891998291015625,7.377299785614014,8.997799873,0.083999999,0.5759199857711792,6.348800182342529
2011-11-01 0:00,6.388400077819824,6.924799919128418,8.499500274658203,0.081820004,0.5589200258255005,6.365099906921387
2011-12-01 0:00,6.397500038146973,6.709599972,8.173399925231934,0.08123,0.545490026,6.309000015258789
2012-01-01 0:00,6.690800189971924,6.887000084,8.265000343322754,0.082730003,0.5607900023460388,6.313600063323975
2012-02-01 0:00,6.791399955749512,7.033899784088135,8.477600098,0.078149997,0.5587300062179565,6.298399925231934
2012-03-01 0:00,6.509300231933594,6.969600200653076,8.387000084,0.075960003,0.5557500123977661,6.296000003814697
2012-04-01 0:00,6.593299865722656,6.951900005340576,8.350299835205078,0.078479998,0.5567200183868408,6.304200172424316
2012-05-01 0:00,6.161799907684326,6.540400028,7.856599807739258,0.080349997,0.5377699732780457,6.3506999015808105
2012-06-01 0:00,6.300899982452393,6.486299991607666,7.793000221252441,0.077100001,0.5408999919891357,6.354000091552734
2012-07-01 0:00,6.6890997886657715,6.503399848937988,7.811600208282471,0.081569999,0.5600600242614746,6.3796000480651855
2012-08-01 0:00,6.518799781799316,6.6057000160217285,7.932400226593018,0.080750003,0.5588099956512451,6.350200176239014
2012-09-01 0:00,6.387700080871582,6.557700157165527,8.067700386047363,0.079120003,0.5506399869918823,6.284699917
2012-10-01 0:00,6.461299896240234,6.686399936676025,8.078200340270996,0.078230001,0.5711100101470947,6.2418999671936035
2012-11-01 0:00,6.486499786376953,6.703199863433838,8.071700096130371,0.075719997,0.574209988,6.231400012969971
2012-12-01 0:00,6.295100212097168,6.637199878692627,8.229200363,0.070469998,0.5711299777030945,6.234799861907959
2013-01-01 0:00,6.474100112915039,6.821300029754639,8.428799629211426,0.068279997,0.5719500184059143,6.2195000648498535
2013-02-01 0:00,6.361400127410889,6.697299957275391,8.181699752807617,0.067369998,0.5730900168418884,6.226200103759766
2013-03-01 0:00,6.3069000244140625,6.376999855041504,7.954100131988525,0.064280003,0.5443000197410583,6.217800140380859
2013-04-01 0:00,6.368599891662598,6.5696001052856445,8.065799713134766,0.062919997,0.5576099753379822,6.165200233459473
2013-05-01 0:00,5.917200088500977,6.417300224304199,7.985300064086914,0.060559999,0.5423399806022644,6.1209001541137695
2013-06-01 0:00,5.485499858856201,6.358500003814697,7.820300102233887,0.060460001,0.5248500108718872,6.127600193023682
2013-07-01 0:00,5.552000045776367,6.583799839019775,8.119400024414062,0.062449999153614044,0.548300028,6.121699810028076
2013-08-01 0:00,5.318600177764893,6.427700042724609,7.901899814605713,0.060880002,0.5390099883079529,6.109499931335449
2013-09-01 0:00,5.695700168609619,6.7642998695373535,8.264699935913086,0.062600002,0.5686900019645691,6.109899997711182
2013-10-01 0:00,5.763299942016602,6.759399890899658,8.352199554,0.06177,0.5745099782943726,6.083799839019775
2013-11-01 0:00,5.542900085449219,6.716199875,8.270000457763672,0.059390000998973846,0.5749599933624268,6.083199977874756
