Date,AUDMXN=X,CHFMXN=X,EURMXN=X,JPYMXN=X,USDMXN=X
2015-08-01 0:00,11.97700024,17.44300079,18.79491043,0.138260007,16.74477959
2015-09-01 0:00,11.9119997,17.51300049,19.14693069,0.141890004,16.91363907
2015-10-01 0:00,11.76200008,16.68099976,18.16200447,0.13662,16.50164986
2015-11-01 0:00,11.92710018,16.11599922,17.57633018,0.13515,16.5632
2015-12-01 0:00,12.65499973,17.57999992,18.99328995,0.144229993,17.26976013
2016-01-01 0:00,12.81900024,17.70299911,19.63512993,0.149460003,18.13899994
2016-02-01 0:00,13.02320004,18.33639908,19.96764946,0.160820007,18.13841057
2016-03-01 0:00,13.21990013,17.88739967,19.57093048,0.153659999,17.26291084
2016-04-01 0:00,13.05900002,17.90500069,19.66300011,0.16144,17.18508339
2016-05-01 0:00,13.29399967,18.6352005,20.59972954,0.166730002,18.4654007
2016-06-01 0:00,13.81879997,18.8906002,20.59012985,0.180030003,18.32295036
2016-07-01 0:00,14.22889996,19.34480095,20.9456501,0.183219999,18.75528908
2016-08-01 0:00,14.14599991,19.12470055,20.96842957,0.182789996,18.7942009
2016-09-01 0:00,14.90579987,20.22629929,21.92922974,0.193110004,19.36893082
2016-10-01 0:00,14.43700027,19.2439003,20.87815094,0.181759998,18.86199951
2016-11-01 0:00,15.43019962,20.37820053,21.9600296,0.183190003,20.56214905
2016-12-01 0:00,14.93400002,20.31100082,21.82453156,0.177239999,20.71839905
2017-01-01 0:00,15.7112999,20.88319969,22.24043083,0.182610005,20.80509949
2017-02-01 0:00,15.27779961,19.71509933,21.0694294,0.176479995,20.11009979
2017-03-01 0:00,14.32839966,18.71360016,20.00934029,0.16742,18.69158936
2017-04-01 0:00,14.07830048,18.91600037,20.51810074,0.169039994,18.81575966
2017-05-01 0:00,13.96119976,19.17869949,20.91132927,0.168889999,18.63534927
2017-06-01 0:00,13.86240005,18.87680054,20.63559914,0.161050007,18.11385918
2017-07-01 0:00,14.17959976,18.32139969,20.86109924,0.160699993,17.80965042
