Date,AUDUSD=X,CHFUSD=X,CNYUSD=X,EURUSD=X,JPYUSD=X,KRWUSD=X,MXNUSD=X,RUBUSD=X
2010-01-01 0:00,0.88628912,0.94339627,0.14669424295425415,1.387694001197815,0.011082787998020649,0.000871308,0.076519877,0.032949362
2010-02-01 0:00,0.8987956643104553,0.9317927956581116,0.14669854938983917,1.3637913465499878,0.011249859817326069,0.000882145,0.078372732,0.033390209
2010-03-01 0:00,0.9155831933021545,0.9490727186203003,0.14671577513217926,1.3508037328720093,0.0106929,0.000883705,0.080936924,0.033986438
2010-04-01 0:00,0.9248127341270447,0.9297136068344116,0.14671361446380615,1.3298048973083496,0.010657572,0.000902609,0.081288919,0.034240711480379105
2010-05-01 0:00,0.8465966582298279,0.8648275136947632,0.1466684341430664,1.2287880182266235,0.010966114699840546,0.000833333,0.077478603,0.032378178
2010-06-01 0:00,0.8413259983062744,0.9278159141540527,0.14766687154769897,1.223002314567566,0.011308379471302032,0.000814863,0.077341318,0.031998466700315475
2010-07-01 0:00,0.9052231907844543,0.9603379964828491,0.1478152871131897,1.3040019273757935,0.011567380279302597,0.000844523,0.079157762,0.033030555
2010-08-01 0:00,0.8918219804763794,0.9754765033721924,0.14720386266708374,1.266592264175415,0.011829840019345284,0.000838153,0.07571169,0.032624296844005585
2010-09-01 0:00,0.9693679809570312,1.0238558053970337,0.1497364640235901,1.3628062009811401,0.011938017792999744,0.000877809,0.079402894,0.032897982746362686
2010-10-01 0:00,0.9727626442909241,1.010325551,0.1497790813446045,1.377808928489685,0.012243049219250679,0.00088308,0.081024148,0.032615785
2010-11-01 0:00,0.9607070684432983,0.9989012479782104,0.15036463737487793,1.3103927373886108,0.011868872679769993,0.000859845,0.080131419,0.031908921897411346
2010-12-01 0:00,1.0157749652862549,1.0700910091400146,0.15123102068901062,1.3301233053207397,0.012272950261831284,0.000887233,0.081092477,0.032730762
2011-01-01 0:00,0.9873617887496948,1.0617965459823608,0.15214909613132477,1.3572757244110107,0.012181900441646576,0.000894935,0.082562745,0.033694766
2011-02-01 0:00,1.014497161,1.077586293,0.15236933529376984,1.373437762260437,0.012251598760485649,0.000887233,0.082651459,0.034572169
2011-03-01 0:00,1.0319172143936157,1.0886130332946777,0.1527043879032135,1.4121301174163818,0.012026458,0.000910498,0.084097221,0.035066802
2011-04-01 0:00,1.093900442123413,1.1456066370010376,0.15382249653339386,1.4820963144302368,0.012265424244105816,0.000935629,0.086805552,0.036342229694128036
2011-05-01 0:00,1.070297122001648,1.1755025386810303,0.15446877479553223,1.4322338104248047,0.012363996356725693,0.000929973,0.086482748,0.035716451704502106
2011-06-01 0:00,1.0692671537399292,1.2003360986709595,0.15472690761089325,1.4478904008865356,0.012390038929879665,0.000935541,0.085388348,0.035755534
2011-07-01 0:00,1.1000010967254639,1.2480499744415283,0.15520720183849335,1.4331985712051392,0.012865045107901096,0.000953289,0.085572481,0.036303833
2011-08-01 0:00,1.0676004886627197,1.2208521366119385,0.15673244,1.4433138370513916,0.013037641,0.00093301,0.081155658,0.03467058
2011-09-01 0:00,0.9764671921730042,1.1140447854995728,0.15655577182769775,1.3585848808288574,0.013026770204305649,0.000849618,0.072020166,0.031276684
2011-10-01 0:00,1.0673953294754028,1.159689188,0.15751007199287415,1.4140071868896484,0.013203063048422337,0.000905797,0.074912541,0.033689883
2011-11-01 0:00,1.0018032789230347,1.0855523347854614,0.15710672736167908,1.3324095010757446,0.012827090919017792,0.000876962,0.073390722,0.032477021
2011-12-01 0:00,1.0140959024429321,1.0636147260665894,0.1585037261247635,1.2956053018569946,0.012876808,0.000865501,0.07182721,0.031285003
2012-01-01 0:00,1.05860436,1.095170259475708,0.15838824212551117,1.313956857,0.013095861300826073,0.000888336,0.076640099,0.03294893
2012-02-01 0:00,1.0799602270126343,1.1184431314468384,0.15877048671245575,1.3477997779846191,0.012425446882843971,0.000889205,0.077808902,0.034484900534152985
2012-03-01 0:00,1.0351002216339111,1.1091023683547974,0.15883100032806396,1.334507703781128,0.012068549171090126,0.000884408,0.078140266,0.034107573330402374
2012-04-01 0:00,1.0456314086914062,1.1024142503738403,0.15862441062927246,1.3241524696350098,0.012445551343262196,0.000883626,0.077146202,0.034164439886808395
2012-05-01 0:00,0.9704968333244324,1.0302162170410156,0.1574629545211792,1.2374706268310547,0.012661112,0.000847673,0.069713615,0.030519254505634308
2012-06-01 0:00,1.024096965789795,1.0553309917449951,0.15738117694854736,1.266496181488037,0.012529758736491203,0.000897666,0.074770004,0.030871822
2012-07-01 0:00,1.0498688220977783,1.0208247900009155,0.1567496359348297,1.2259409427642822,0.012803933583199978,0.000879817,0.074972637,0.031096268445253372
2012-08-01 0:00,1.0280978679656982,1.0418837070465088,0.15747535228729248,1.2510946989059448,0.012733987532556057,0.000882145,0.075832255,0.030734051018953323
2012-09-01 0:00,1.0357112884521484,1.062846064567566,0.15911658108234406,1.284505009651184,0.012826762162148952,0.00091191,0.077751428,0.032097164541482925
2012-10-01 0:00,1.0366023778915405,1.072662115097046,0.1602076292037964,1.2962603569030762,0.012549570761620998,0.000917179,0.076426305,0.031909529119729996
2012-11-01 0:00,1.0429377555847168,1.077818512916565,0.16047757863998413,1.2973533868789673,0.012172706425189972,0.000924129,0.07716883,0.032398947
2012-12-01 0:00,1.039198637008667,1.0957703590393066,0.16039007902145386,1.3227688074111938,0.011633317917585373,0.000963298,0.077897996,0.032851294
2013-01-01 0:00,1.0418837070465088,1.0976948738098145,0.16078463196754456,1.3568336963653564,0.010986475,0.000921319,0.078832023,0.033297814428806305
