Date,AUDEUR=X,CHFEUR=X,CNYEUR=X,JPYEUR=X,KRWEUR=X,MXNEUR=X,USDEUR=X
2010-01-01 0:00,0.6384699940681458,0.6796200275421143,0.10272999852895737,0.00798,0.060509998351335526,0.055070001631975174,0.7206199765205383
2010-02-01 0:00,0.6588000059127808,0.6831099987030029,0.10555999726057053,0.00825,0.062279999,0.057349998503923416,0.7332500219345093
2010-03-01 0:00,0.6774600148200989,0.7025399804115295,0.10808999836444855,0.00791,0.065300003,0.059790000319480896,0.7402999997138977
2010-04-01 0:00,0.6952700018882751,0.6979799866676331,0.1098800003528595,0.00801,0.067749999,0.06106,0.75199002
2010-05-01 0:00,0.6886000037193298,0.7036799788475037,0.11896999925374985,0.00892,0.067680001,0.062899999,0.8138099908828735
2010-06-01 0:00,0.6876299977302551,0.7584999799728394,0.11969999969005585,0.00924,0.066509999,0.063170001,0.8176599740982056
2010-07-01 0:00,0.6940600275993347,0.7361099720001221,0.11271999776363373,0.00887,0.06464,0.060600001364946365,0.7668700218200684
2010-08-01 0:00,0.7038000226020813,0.7699900269508362,0.11561000347137451,0.00934,0.066040002,0.059999999,0.7895200252532959
2010-09-01 0:00,0.7110999822616577,0.7510899901390076,0.10948000103235245,0.00876,0.064300001,0.058490000665187836,0.733780026
2010-10-01 0:00,0.7059000134468079,0.7330300211906433,0.10832999646663666,0.00889,0.063979998,0.058240000158548355,0.7257900238037109
2010-11-01 0:00,0.7332000136375427,0.7622299790382385,0.1143999993801117,0.00906,0.065509997,0.061050002,0.7631300091743469
2010-12-01 0:00,0.7631999850273132,0.8043500185012817,0.1139099970459938,0.00922,0.066579998,0.06064,0.7518100142478943
2011-01-01 0:00,0.7271000146865845,0.7820500135421753,0.11142999678850174,0.00897,0.065810002,0.060199998,0.736769974
2011-02-01 0:00,0.7382000088691711,0.7841899991035461,0.11052999645471573,0.00892,0.064479999,0.05999,0.7281000018119812
2011-03-01 0:00,0.7304999828338623,0.7706500291824341,0.10811000317335129,0.00852,0.064350002,0.05934,0.7081500291824341
2011-04-01 0:00,0.7366999983787537,0.7716599702835083,0.10394000262022018,0.00826,0.062919997,0.0583,0.6747199892997742
2011-05-01 0:00,0.7470999956130981,0.8207100033760071,0.10791999846696854,0.00863,0.064800002,0.060100000351667404,0.6982100009918213
2011-06-01 0:00,0.7382000088691711,0.8287699818611145,0.1071000024676323,0.00856,0.064499997,0.05869,0.6906599998474121
2011-07-01 0:00,0.7671999931335449,0.8704100251197815,0.10840000212192535,0.00897,0.06639,0.05948,0.6977400183677673
2011-08-01 0:00,0.7394000291824341,0.8453900218009949,0.10846000164747238,0.00903,0.064520001,0.055319998413324356,0.6928499937057495
2011-09-01 0:00,0.7185999751091003,0.8200100064277649,0.11445000022649765,0.00959,0.062419999,0.053630001842975616,0.7360600233078003
2011-10-01 0:00,0.7543799877166748,0.819819987,0.11089000105857849,0.00933,0.063950002,0.054189999,0.7072100043296814
2011-11-01 0:00,0.7516000270843506,0.8145300149917603,0.11738000065088272,0.00963,0.065690003,0.054349999874830246,0.7505199909210205
2011-12-01 0:00,0.7825000286102295,0.8207600116729736,0.12205000221729279,0.00994,0.066670001,0.055089999,0.771839976
2012-01-01 0:00,0.8055999875068665,0.8293899893760681,0.12014999985694885,0.00996,0.067479998,0.058589999,0.7610599994659424
2012-02-01 0:00,0.8008999824523926,0.8293200135231018,0.11767999827861786,0.00922,0.065839998,0.057799999,0.7419499754905701
2012-03-01 0:00,0.7754899859428406,0.830299973,0.11885999888181686,0.00905,0.066150002,0.058479998260736465,0.7493399977684021
2012-04-01 0:00,0.7893000245094299,0.8324000239372253,0.11947000026702881,0.0094,0.066600002,0.058249999,0.7552000284194946
2012-05-01 0:00,0.7840999960899353,0.832360029,0.12695999443531036,0.010230000130832195,0.068379998,0.057009998708963394,0.8080999851226807
2012-06-01 0:00,0.8084700107574463,0.8321999907493591,0.12206000089645386,0.00989,0.067989998,0.059039998799562454,0.7895799875259399
2012-07-01 0:00,0.8561999797821045,0.8324199914932251,0.12769000232219696,0.010440000332891941,0.071620002,0.061469998210668564,0.8156999945640564
2012-08-01 0:00,0.8215000033378601,0.8325600028038025,0.1257299929857254,0.010169999673962593,0.070359997,0.05982,0.7993000149726868
2012-09-01 0:00,0.8062999844551086,0.8274000287055969,0.12018000334501266,0.00998,0.068099998,0.060380001,0.7785099744796753
2012-10-01 0:00,0.7996000051498413,0.827459991,0.12345000356435776,0.00968,0.070610002,0.058990002,0.7714499831199646
2012-11-01 0:00,0.8036999702453613,0.830560029,0.12362000346183777,0.00938,0.071079999,0.059500001,0.770799994
2012-12-01 0:00,0.7853999733924866,0.8282300233840942,0.11886999756097794,0.00879,0.06978,0.057999998331069946,0.7559900283813477
2013-01-01 0:00,0.7677000164985657,0.8087499737739563,0.11830999702215195,0.00809,0.067759998,0.0579,0.7370100021362305
2013-02-01 0:00,0.7775999903678894,0.8184000253677368,0.12193000316619873,0.00823,0.069969997,0.05948,0.7603999972343445
2013-03-01 0:00,0.8125,0.8216300010681152,0.12253999710083008,0.00828,0.068690002,0.063259996,0.7807700037956238
2013-04-01 0:00,0.7896999716758728,0.8145999908447266,0.12370999902486801,0.0078,0.069080003,0.062540002,0.7635999917984009
2013-05-01 0:00,0.7409999966621399,0.8037499785423279,0.12492000311613083,0.00758,0.067850001,0.05988,0.7666400074958801
2013-06-01 0:00,0.7013599872589111,0.8129600286483765,0.12165000289678574,0.00773,0.065789998,0.059149999,0.7684599757194519
