Date,AUDKRW=X,CHFKRW=X,CNYKRW=X,EURKRW=X,JPYKRW=X,MXNKRW=X,USDKRW=X
2010-01-01 0:00,1017,1082.4000244140625,,1605.780029296875,12.718000411987305,,1147.699951171875
2010-02-01 0:00,1018.5999755859375,1056.0999755859375,,1545.7340087890625,12.751999855041504,,1133.5999755859375
2010-03-01 0:00,1035.800048828125,1073.800048828125,,1528.3900146484375,12.098999977111816,,1131.5999755859375
2010-04-01 0:00,1024.300048828125,1028.4000244140625,,1473.0799560546875,11.805000305175781,,1107.9000244140625
2010-05-01 0:00,1015.7999877929688,1037.5999755859375,,1474.469970703125,13.156999588012695,,1200
2010-06-01 0:00,1032.300048828125,1138.4000244140625,,1500.5799560546875,13.875,,1227.199951171875
2010-07-01 0:00,1071.699951171875,1136.5999755859375,,1543.939941,13.701000213623047,,1184.0999755859375
2010-08-01 0:00,1063.9000244140625,1163.699951171875,,1511.8399658203125,14.11299991607666,,1193.0999755859375
2010-09-01 0:00,1104.0999755859375,1166,,1552.27002,13.597000122070312,,1139.199951171875
2010-10-01 0:00,1101.199951171875,1143.699951171875,,1563.489990234375,13.86299991607666,,1132.4000244140625
2010-11-01 0:00,1118.0999755859375,1161.4000244140625,,1523.4200439453125,13.800999641418457,,1163
2010-12-01 0:00,1144.9000244140625,1205.9000244140625,,1499.060059,13.829000473022461,,1127.0999755859375
2011-01-01 0:00,1102.9000244140625,1186.199951171875,,1516.469970703125,13.607999801635742,,1117.4000244140625
2011-02-01 0:00,1143.0999755859375,1214.199951171875,,1547.97998,13.807999610900879,,1127.0999755859375
2011-03-01 0:00,1132.800048828125,1195.199951171875,,1550.969970703125,13.208000183105469,,1098.300048828125
2011-04-01 0:00,1168.9000244140625,1224.199951171875,,1586.310059,13.107999801635742,,1068.800048828125
2011-05-01 0:00,1150.9000244140625,1264.0999755859375,,1540.1199951171875,13.295999526977539,,1075.300048828125
2011-06-01 0:00,1142.699951171875,1282.800048828125,,1547.4200439453125,13.23799991607666,,1068.9000244140625
2011-07-01 0:00,1154,1309.0999755859375,,1503.3199462890625,13.494000434875488,,1049
2011-08-01 0:00,1144,1307.9000244140625,,1546.8399658203125,13.970999717712402,,1071.800048828125
2011-09-01 0:00,1149.5,1311.0999755859375,,1599.1199951171875,15.336000442504883,,1177
2011-10-01 0:00,1178,1279.5999755859375,,1560.8399658203125,14.571000099182129,,1104
2011-11-01 0:00,1141.9000244140625,1237.800048828125,,1519.199951171875,14.623000144958496,,1140.300048828125
2011-12-01 0:00,1171.5,1228.699951171875,,1496.8599853515625,14.87600040435791,,1155.4000244140625
2012-01-01 0:00,1191.699951171875,1226.800048828125,,1507.699951171875,14.73900032043457,,1125.699951171875
2012-02-01 0:00,1214.300048828125,1257.699951171875,,1515.810059,13.972999572753906,,1124.5999755859375
2012-03-01 0:00,1170.0999755859375,1252.800048828125,,1508.739990234375,13.654000282287598,,1130.699951171875
2012-04-01 0:00,1183.0999755859375,1247.5,,1498.4100341796875,14.083000183105469,,1131.699951171875
2012-05-01 0:00,1144.5,1215,,1458.989990234375,14.930000305175781,,1179.699951171875
2012-06-01 0:00,1140.5999755859375,1174.199951171875,,1410.737060546875,13.956999778747559,,1114
2012-07-01 0:00,1193.199951171875,1160,,1393.280029296875,14.550000190734863,,1136.5999755859375
2012-08-01 0:00,1165.5,1180.9000244140625,,1418.1300048828125,14.434000015258789,,1133.5999755859375
2012-09-01 0:00,1136,1165.5999755859375,,14.684288024902344,14.064000129699707,,1096.5999755859375
2012-10-01 0:00,1130.199951171875,1169.5,,1413.1700439453125,13.682999610900879,,1090.300048828125
2012-11-01 0:00,1128.4000244140625,1166.0999755859375,,1404.3299560546875,13.17199993133545,,1082.0999755859375
2012-12-01 0:00,1078.300048828125,1137.300048828125,,1373,12.076000213623047,,1038.0999755859375
2013-01-01 0:00,1130.699951171875,1191.5,,1472.209961,11.923999786376953,,1085.4000244140625
2013-02-01 0:00,1109.0999755859375,1167.4000244140625,,1423.689941,11.739999771118164,,1083.9000244140625
2013-03-01 0:00,1134.4000244140625,1147,,14.558159828186035,11.56000042,,1090
2013-04-01 0:00,1140.9000244140625,1176.9000244140625,,1444.699951171875,11.270999908447266,,1103.199951171875
2013-05-01 0:00,1090.300048828125,1182.199951171875,,1470.8699951171875,11.154999732971191,,1127.5999755859375
2013-06-01 0:00,1024.0999755859375,1186.9000244140625,,1460,11.288999557495117,,1122.0999755859375
2013-07-01 0:00,1011.5,1199.5,,1479.3299560546875,11.37600040435791,,1113.300048828125
2013-08-01 0:00,966.5499877929688,1168.0999755859375,,1436,11.062999725341797,,1086
2013-09-01 0:00,1000.5,1188.199951171875,,1451.780029296875,10.994999885559082,,1075.800048828125
2013-10-01 0:00,1002.2000122070312,1175.4000244140625,,1452.290039,10.741000175476074,,1058.199951171875
2013-11-01 0:00,963.0499877929688,1166.9000244140625,,1436.8699951171875,10.319000244140625,,1057.0999755859375
2013-12-01 0:00,940.2299805,1188.199951171875,,1455.9300537109375,10.04699993133545,,1054.300048828125
2014-01-01 0:00,949.4899902,1195.800048828125,,1463.3299560546875,10.501999855041504,,1079.300048828125
2014-02-01 0:00,957.6500244140625,1203.199951171875,,1464.8699951171875,10.468000411987305,,1068.699951171875
2014-03-01 0:00,989.6799926757812,1205.0999755859375,,1470.0699462890625,10.387999534606934,,1066.550048828125
2014-04-01 0:00,953.7899780273438,1165,,1421.52002,10.031999588012695,,1029.439941
2014-05-01 0:00,949.0200195,1138.9000244140625,,13.931456565856934,10.017999649047852,,1019.7999877929688
