Date,AUDJPY=X,CHFJPY=X,CNYJPY=X,EURJPY=X,KRWJPY=X,MXNJPY=X,RUBJPY=X,USDJPY=X
2010-01-01 0:00,79.91999816894531,85.08899688720703,12.862000465393066,125.19999694824219,7.715899944,6.8968000411987305,2.972599983215332,90.23000336
2010-02-01 0:00,79.87000274658203,82.77999877929688,12.798999786376953,121.20999908447266,7.690999984741211,6.952700138092041,2.9674999713897705,88.88999938964844
2010-03-01 0:00,85.58999633789062,88.73000336,13.654000282287598,126.33999633789062,8.256099700927734,7.554599761962891,3.175100088119507,93.51999664
2010-04-01 0:00,86.74299621582031,87.09400177001953,13.711000442504883,124.75,8.460000038146973,7.619900226593018,3.2172999382019043,93.83000183105469
2010-05-01 0:00,77.17150115966797,78.85160064697266,13.329999923706055,112.05000305175781,7.591199875,7.048799991607666,2.9507999420166016,91.19000244140625
2010-06-01 0:00,74.375,82.03600311279297,12.944999694824219,108.12000274658203,7.197999954223633,6.832300186157227,2.8280999660491943,88.43000030517578
2010-07-01 0:00,78.19799805,83.07299805,12.70199966430664,112.66000366210938,7.289800167,6.828499794006348,2.852600098,86.44999694824219
2010-08-01 0:00,75.34999847,82.43399810791016,12.378000259399414,107.06099700927734,7.077700138092041,6.423900127410889,2.7539000511169434,84.53199768066406
2010-09-01 0:00,81.13999938964844,85.70999908447266,12.49899959564209,114.1500015258789,7.346499919891357,6.677599906921387,2.751699924468994,83.76599884033203
2010-10-01 0:00,79.43160247802734,82.49900055,12.192000389099121,112.5250015258789,7.20389986,6.552599906921387,2.659399986,81.67900085449219
2010-11-01 0:00,80.94499969482422,84.14700317382812,12.628000259399414,110.37000274658203,7.237800121307373,6.742099761962891,2.6870999336242676,84.25399780273438
2010-12-01 0:00,82.76999664,87.18340301513672,12.348999977111816,108.38400268554688,7.223299980163574,6.574200153,2.6682000160217285,81.48000336
2011-01-01 0:00,81.00700378417969,87.14499664,12.418000221252441,111.41200256347656,7.340600014,6.708700180053711,2.764899969100952,82.08899688720703
2011-02-01 0:00,82.73999786376953,87.87999725341797,12.392999649047852,112.09600067138672,7.234899997711182,6.726500034332275,2.8203999996185303,81.62200164794922
2011-03-01 0:00,85.80699920654297,90.48000336,12.694000244140625,117.41000366210938,7.5630998611450195,6.96750021,2.9042999744415283,83.15000153
