"구분별(1)",구분별(2),2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"구분별(1)",구분별(2),사례수 (명),도서/만화(웹툰 포함) (%),교육(인터넷 강의 사전/번역 학교 등) (%),게임 (%),금융거래/지출관리 (%),쇼핑 (%),생활정보/날씨 (%),내비게이션/지리/위치/교통정보 (%),뉴스 (%),소셜네트워킹/커뮤니티 (%),인스턴트메신저(카카오톡 라인 페이스북 등의 SNS 자체 메신저 등) (%),스포츠/건강관리 (%),여행 (%),유틸리티/도구/일정관리/배경화면 (%),레퍼런스/참고자료 (%),음악 (%),방송/동영상(OTT 서비스 등) (%),사진/카메라(편집 뷰티앱 등) (%),포털애플리케이션 (%),이용 없음 (%),사례수 (명),도서/만화(웹툰 포함) (%),교육(인터넷 강의 사전/번역 학교 등) (%),게임 (%),금융거래/지출관리 (%),쇼핑 (%),생활정보/날씨 (%),내비게이션/지리/위치/교통정보 (%),뉴스 (%),소셜네트워킹/커뮤니티 (%),인스턴트메신저(카카오톡 라인 페이스북 등의 SNS 자체 메신저 등) (%),스포츠/건강관리 (%),여행 (%),유틸리티/도구/일정관리/배경화면 (%),레퍼런스/참고자료 (%),음악 (%),방송/동영상(OTT 서비스 등) (%),사진/카메라(편집 뷰티앱 등) (%),포털애플리케이션 (%),사례수 (명),도서/만화(웹툰 포함) (%),교육(인터넷 강의 사전/번역 학교 등) (%),게임 (%),금융거래/지출관리 (%),쇼핑 (%),생활정보/날씨 (%),내비게이션/지리/위치/교통정보 (%),뉴스/잡지 (%),소셜네트워킹/커뮤니티 (%),인스턴트메신저(카카오톡 라인 페이스북 등의 SNS 자체 메신저 등) (%),스포츠/건강관리 (%),여행 (%),유틸리티/도구/일정관리/배경화면 (%),레퍼런스/참고자료 (%),음악 (%),방송/동영상(OTT 서비스 등) (%),사진/카메라(편집 뷰티앱 등) (%),포털애플리케이션 (%),배달/오더 (%),모빌리티(택시 렌트 대중교통 예약 등 포함) (%),부동산/홈 인테리어 (%),사례수 (명),도서/만화(웹툰 포함) (%),교육(인터넷 강의 사전/번역 학교 등) (%),게임 (%),금융거래/지출관리 (%),쇼핑 (%),생활정보/날씨 (%),내비게이션/지리/위치/교통정보 (%),뉴스/잡지 (%),소셜네트워킹/커뮤니티 (%),인스턴트메신저(카카오톡 라인 페이스북 등의 SNS 자체 메신저 등) (%),스포츠/건강관리 (%),여행 (%),유틸리티/도구/일정관리/배경화면 (%),레퍼런스/참고자료 (%),음악 (%),방송/동영상(OTT 서비스 등) (%),사진/카메라(편집 뷰티앱 등) (%),포털애플리케이션 (%),배달/오더 (%),모빌리티(택시 렌트 대중교통 예약 등 포함) (%),부동산/홈 인테리어 (%),사례수 (명),도서/만화(웹툰 포함) (%),교육(인터넷 강의 사전/번역 학교 등) (%),게임 (%),금융거래/지출관리 (%),쇼핑 (%),생활정보/날씨 (%),내비게이션/지리/위치/교통정보 (%),뉴스/잡지 (%),소셜네트워킹/커뮤니티 (%),인스턴트메신저(카카오톡 라인 페이스북 등의 SNS 자체 메신저 등) (%),스포츠/건강관리 (%),여행 (%),유틸리티/도구/일정관리/배경화면 (%),음악 (%),방송/동영상(OTT 서비스 등) (%),사진/카메라(편집 뷰티앱 등) (%),포털애플리케이션 (%),배달/오더 (%),모빌리티(택시 렌트 대중교통 예약 등 포함) (%),부동산/홈 인테리어 (%),영상통화/화상회의 (%)
"성별",남,4248.0,13.9,2.8,27.7,4.3,3.9,10.8,17.8,27.2,15.8,55.6,9.1,1.4,1.3,0.3,16.4,18.7,14.3,45.3,2.2,4574.2,9.5,2.4,30.6,3.2,4.1,11.5,19.1,25.5,14.2,67.3,7.3,1.0,1.2,0.1,13.7,17.7,13.7,51.6,4701.6,13.0,4.0,28.6,3.5,4.2,13.6,16.1,15.2,12.2,64.9,7.4,1.0,1.1,0.1,15.7,29.1,6.7,48.5,1.2,0.6,0.8,4703.6,10.4,5.6,29.0,6.5,5.4,13.5,13.1,24.2,8.9,58.4,6.4,1.3,0.9,0.2,11.4,36.4,6.7,47.3,1.4,0.9,0.9,4709.0,7.3,4.5,26.6,11.1,5.4,15.5,14.0,23.4,5.4,49.7,6.4,1.7,2.1,11.3,52.4,9.5,42.4,2.3,0.3,0.9,0.6
"성별",여,4053.0,12.1,2.9,14.7,3.3,17.6,11.2,7.2,16.9,21.1,67.9,0.9,1.8,1.4,0.2,23.4,15.3,19.5,43.4,3.6,4289.3,8.3,2.0,12.2,3.3,19.3,12.8,9.5,17.6,18.4,73.7,0.5,1.8,1.8,0.2,20.7,16.2,22.8,50.9,4437.9,9.6,3.3,11.8,4.6,20.7,12.2,6.2,9.2,15.6,74.1,0.5,2.1,1.6,0.1,24.1,22.9,13.9,47.1,3.3,0.6,0.9,4497.2,8.7,5.1,11.4,6.8,20.8,14.7,3.8,13.4,11.8,69.8,0.7,1.7,1.9,0.2,19.4,31.5,13.9,43.4,5.3,0.7,1.7,4546.8,6.9,4.9,11.2,9.1,25.9,15.3,4.0,13.6,10.0,60.0,1.8,0.9,1.6,17.3,50.3,14.1,38.8,2.8,0.4,1.1,1.0
"연령",만10대미만,119.0,31.1,9.1,59.4,0.0,0.0,3.6,1.9,1.9,5.1,35.4,0.0,0.0,0.0,0.0,21.7,53.3,18.4,20.7,3.0,176.6,7.4,8.4,65.0,0.0,0.0,4.5,0.5,2.4,5.2,48.8,0.3,0.0,1.1,0.0,13.3,54.7,36.6,22.4,189.4,15.2,19.3,68.2,0.0,0.7,1.4,0.0,0.0,0.3,39.9,1.0,0.0,4.3,0.0,13.6,42.3,24.6,14.8,0.0,0.0,0.0,192.2,20.2,32.3,66.9,0.0,0.8,3.6,3.7,0.8,0.0,32.1,0.0,0.0,0.6,0.0,18.0,35.8,27.2,20.7,0.0,0.0,0.0,151.3,14.8,16.1,70.8,0.0,0.0,2.0,0.0,0.0,1.4,29.3,0.0,0.0,2.5,12.3,61.6,15.6,4.8,0.3,0.0,0.0,0.0
"연령",만10-19세,876.6,28.3,7.8,49.3,0.6,2.9,1.5,0.7,2.5,24.1,60.0,3.4,0.5,1.4,0.1,34.5,35.7,11.8,28.5,0.5,889.0,24.3,6.5,50.7,0.4,3.0,2.0,1.8,3.8,21.2,63.8,1.6,0.2,0.7,0.1,31.4,32.2,16.9,33.6,958.8,29.9,15.0,55.1,0.3,2.7,1.6,0.3,1.5,14.9,58.3,2.5,0.3,0.7,0.3,28.6,37.1,8.8,26.3,1.5,0.2,0.0,945.2,29.8,23.3,58.5,0.8,2.6,1.2,0.1,2.2,13.3,53.9,1.6,0.1,1.1,0.2,26.0,42.8,9.4,20.4,1.5,0.1,0.1,953.2,21.9,22.1,60.7,0.4,5.2,2.0,0.1,2.2,11.2,49.9,1.0,0.2,0.9,23.4,57.9,10.5,16.8,0.7,0.0,0.0,2.3
"연령",만20-29세,1436.8,24.4,6.7,26.0,2.3,10.6,4.4,5.7,8.9,31.1,62.8,3.7,2.3,1.2,0.4,32.1,22.1,8.6,45.7,0.0,1523.3,20.5,3.9,26.0,2.5,10.7,3.0,7.9,9.3,31.8,69.8,3.2,1.9,0.8,0.0,27.6,20.3,9.8,49.1,1435.1,19.6,4.7,27.7,3.4,11.6,3.9,3.9,5.3,26.5,68.9,3.5,1.6,1.5,0.0,27.4,39.5,6.4,41.3,1.1,1.2,0.2,1409.8,14.2,9.0,27.4,5.3,12.0,6.2,3.7,10.5,19.7,63.8,2.6,2.2,1.3,0.2,23.2,45.5,6.4,40.9,2.9,1.0,0.6,1333.8,13.1,6.7,26.7,4.5,14.0,4.3,3.6,9.2,19.2,54.9,3.1,2.2,1.0,24.7,62.2,7.7,34.5,6.8,0.4,0.1,0.8
"연령",만30-39세,1395.5,14.4,1.4,18.6,7.4,18.2,10.3,14.5,23.6,21.4,63.4,5.2,1.0,1.5,0.6,21.0,16.4,11.4,48.7,0.0,1539.4,8.1,1.8,22.3,5.5,21.2,12.3,16.2,23.2,18.0,66.5,3.7,2.3,1.6,0.3,18.5,14.4,13.8,48.4,1507.0,12.3,1.6,16.8,4.9,19.9,6.7,12.7,10.9,20.4,71.2,4.8,1.7,1.4,0.1,21.0,27.1,4.9,55.9,2.6,0.6,0.4,1441.2,11.6,2.0,20.1,10.7,19.9,7.8,9.0,18.1,16.6,62.3,4.1,1.4,1.7,0.7,14.6,33.6,5.5,50.1,5.1,2.0,1.6,1344.7,6.9,0.8,12.7,17.8,23.4,11.5,10.2,18.5,11.9,55.6,4.7,1.3,1.4,12.2,52.9,9.6,41.4,3.7,1.6,1.1,0.7
